titulo,autor,data,secao,texto,url

A Protagonista: Bolsonaro gosta de ser presidente?,,,,,https://www.gazetadopovo.com.br/blogs/a-protagonista/2019/04/05/a-protagonista-bolsonaro-gosta-de-ser-presidente/

,,,,"Quando o Facebook e sua família de aplicativos ficaram um dia inteiro sem funcionar em março, milhões de pessoas puderam ver como seria a vida se a rede social fosse extinta para sempre. Posso aprofundar isso: há cinco meses, deletei permanentemente minha conta no Facebook. E quais foram as consequências disso?A missão, amplamente divulgada, da rede social tem sido conectar pessoas para que possamos viver em um mundo mais aberto. Porém, estando fora do Facebook desde outubro, não me senti menos conectado e minha vida social não sofreu, apesar de não estar mais acompanhando as atualizações de status nem as fotos no meu feed de notícias. Meus amigos e eu continuamos a fazer planos via e-mail e aplicativos de mensagens. Assim como minha família. Nada mudou.Houve algumas diferenças, contudo – incluindo algumas experiências estranhas com anúncios on-line. Já faz muito tempo que o Facebook tem usado as informações que coleta dos usuários para sugerir anúncios mais relevantes. Então, após alguns meses sem a rede social, comecei a receber anúncios aleatórios em sites como o Instagram (que pertence ao Facebook). Entre eles: propaganda de lâminas para depilação feminina, bolsas, maiôs e biquínis.O Instagram deve ter começado a pensar que sou uma mulher, mas minha carteira agradeceu. Percebi que estava gastando consideravelmente menos dinheiro nas usuais e frívolas compras on-line de roupas e artigos de cozinha por não estar mais recebendo anúncios do Facebook que incitavam meus gastos extravagantes. Nos últimos cinco meses, minhas compras on-line caíram aproximadamente 43 por cento.Mas e o FOMO, sigla em inglês que designa o medo que a pessoa sente de perder oportunidades, tipicamente induzido pelas redes sociais? Ele é frequentemente uma das razões pelas quais as pessoas têm medo de sair do Facebook. E se não virem aquele post sobre um passeio com um amigo distante? Ou se perderem o convite para uma festa compartilhado na rede social? Para mim, no fim das contas, sem o Facebook não perdi muita coisa – a não ser os anúncios direcionados.A seguir, um pouco mais do que aprendi.Nos 14 anos em que usei o Facebook, contabilizei cerca de 500 amigos. A maioria era de antigos colegas de turma com os quais tinha perdido contato. Na vida real, tenho aproximadamente 20 amigos com quem falo regularmente. Por isso, quando finalmente deletei minha conta, a diferença de número foi assustadora. Esses mesmos amigos mantiveram contato por iMessage, Signal ou e-mail. Ainda jantamos ou vamos ao cinema juntos.Consigo pensar em apenas um com quem falava exclusivamente pelo Facebook Messenger – agora, mandamos e-mails e conversamos menos do que costumávamos, mas, quando nos encontramos pessoalmente, somos tão próximos como sempre fomos. Além disso, não consigo me lembrar da última vez que fui a um evento cujo convite recebi via Facebook; logo, nunca sofri de FOMO.Também posso dizer do que eu absolutamente não sinto falta em relação ao Facebook: pessoas postando frequentemente jogos on-line, notícias sobre política ou opiniões sobre eventos do dia a dia. Ocasionalmente, apareciam posts engraçados ou interessantes, mas no geral eram um desperdício de tempo.Recentemente, também comecei a ler mais livros. Poderia ser porque não estou mais gastando minha energia lendo o Facebook?Faz tempo que as marcas conseguem direcionar anúncios por meio das ferramentas do Facebook. É provável que você veja um anúncio de um relógio, por exemplo, no Facebook porque a empresa usou as ferramentas para carregar seu endereço de e-mail e tirar vantagem de outros dados seus que a rede social possui – como idade ou o fato de você seguir a página da Timex no Facebook.Quando você navega em sites fora do Facebook, a empresa ainda é capaz de acompanhar suas atividades para ajudar marcas a sugerir anúncios relevantes a você. Após entrar em um site para ver, vamos supor, um par de sapatos, é possível que você veja o anúncio desse produto – ou similares – quando entrar em outro site.A rede social usa uma variedade de abordagens para coletar informações sobre os usuários da web. Uma envolve o Facebook pixel, um rastreador invisível que as marcas podem incorporar ao site delas. Quando você carrega o site de uma marca, o Facebook pixel envia de volta à companhia a informação sobre o dispositivo e as atividades de navegação. A rede social pode então usar essa informação para ajudar as marcas a achar você.Quando saí do Facebook, queria que todos aqueles anúncios sugeridos desaparecessem. Então, além de encerrar minha conta, instalei bloqueadores de rastreamento no navegador do computador e dos aparelhos móveis para evitar que anunciantes usassem cookies e pixels rastreadores invisíveis como o do Facebook. As medidas extras funcionaram. A ofensiva on-line de anúncios sugeridos cessou.""Se você possuir o bloqueador de rastreamento e já deletou a conta do Facebook, está fora do radar"", declarou Gabriel Weinberg, executivo-chefe da DuckDuckGo, que oferece ferramentas para obtenção de privacidade na internet, incluindo um navegador que bloqueia rastreadores.O Facebook nega montar perfis de pessoas que não estejam na rede social e sugerir a elas anúncios. ""Sites e aplicativos nos enviam informações sobre quem os visita, independentemente de terem uma página na rede social. Se você não é um usuário do Facebook, não sabemos quem é você nem temos algum tipo de dossiê a seu respeito"", anunciou a empresa em uma declaração.Os anunciantes têm outras estratégias, além do Facebook, para me perseguir, mas existem razões econômicas que os fazem desistir. Com as ferramentas da rede social, era relativamente acessível e prático que me seguissem e marcassem. Sem elas, fica muito mais caro. ""Pode ser custoso demais para uma empresa ir atrás de você"", argumentou Michael Priem, executivo-chefe da Modern Impact, uma agência de publicidade de Minneapolis.O Facebook frequentemente defende anúncios direcionados, argumentando que propagandas irrelevantes incomodam os usuários. Discordo. Sim, os anúncios que vejo hoje não têm nada a ver comigo – mas o lado bom foi ver meus gastos despencarem.Eu me lembro, há cerca de um ano, de ter visitado o site da Taylor Stitch, uma loja de roupas masculinas. Olhei um casaco e fechei a janela após decidir não comprar. Nas semanas seguintes, um anúncio do mesmo casaco apareceu no Facebook, no Instagram e em outros sites. Adivinha o que aconteceu? Comprei.Após sair do Facebook, tenho desistido de compras on-line com mais frequência ao me colocar a seguinte pergunta: preciso de outra camisa xadrez, frigideira ou coqueteleira? A resposta sempre foi não. E, como agora não há nada que me faça mudar de ideia, mantenho o cartão de crédito na carteira.Abri o Mint, a ferramenta que controla orçamentos, para ter uma ideia mais clara de quanto estava economizando. De outubro até a metade de março, gastei aproximadamente 341 dólares (1.300 reais) em roupas e 1.100 dólares (mais de 4.000 reais) na Amazon. Uma queda significativa desde a época das orgias das compras on-line antes de deixar o Facebook. De outubro de 2017 à metade de março de 2018, gastei 1.008 dólares em roupas e 1.542 dólares (quase 6.000 reais) na Amazon. Uau.Durante anos, minha conta pessoal no Instagram trazia anúncios de botas, pastas e videogames para homens. Agora, recebo anúncios para produtos como lâminas de depilar femininas e sutiãs.Tenho uma teoria do motivo da mudança, que o Facebook não contestou: não ter uma conta no Facebook significa que o Instagram está perdendo informações significativas sobre quem sou e do que gosto, por isso pode estar perdendo as dicas necessárias para me sugerir os anúncios corretos.E, como minha noiva e eu gerenciamos juntos a conta do nosso cachorro no Instagram e mexemos nela a partir das contas pessoais e aparelhos particulares, algumas informações podem ter se cruzado e, agora, o Instagram acha que sou do sexo feminino. (O Instagram não exige que a pessoa informe o gênero ao criar uma conta.)É um pouco estranho, mas não me incomoda. Pelo contrário, pelo menos me dá ideias para futuros presentes.",https://www.gazetadopovo.com.br/economia/o-que-mudou-desde-que-apaguei-minha-conta-no-facebook-no-ano-passado/

Paraná não descarta dispensa de Maicosuel antes da Série B,Daniel Malucelli,[05/04/2019],Paraná Clube,,https://www.gazetadopovo.com.br/esportes/parana-clube/parana-nao-descarta-dispensa-de-maicosuel-antes-da-serie-b-9s0qn5sc2wsydkztpghuf3ae9

,,,,"A corregedoria da Polícia Militar do Paraná (PM-PR), responsável por apurar irregularidades envolvendo policiais militares, vai investigar se houve excesso na conduta de PMs que por ele não querer assinar um boletim de registro por perturbação de sossego. O caso foi por volta das 20h30 de quarta-feira (3) e ganhou grande repercussão pelo número de viaturas mobilizadas para a ação: seis ao todo. Ao final, duas pessoas foram conduzidas para um cartório policial próximo.Segundo a PM, a investigação para apurar as circunstâncias dos fatos é de praxe em ações policiais em que existem denúncias e que qualquer pessoa que se sinta ofendida em ações assim deve procurar os órgãos competentes para formalizar a queixa.Como nesta quinta-feira (4), a corporação também foi questionada sobre a quantidade de viaturas deslocadas para prestar apoio à situação. Em nota, ela explica que é comum que as equipes solicitem apoio em ocorrências em que os ânimos começam a se alterar.Já a ação policial do último dia 28 de março contra um grupo de pessoas que estava em um estabelecimento entre as ruas Paula Gomes e Trajano Reis, no Largo da Ordem, e que também repercutiu após denúncias de truculência, não será investigada pela corregedoria.O caso que agora está na mesma do coronel Ênio Soares dos
Santos, corregedor-geral da PM-PR, diz respeito à prisão de um dos donos de um bar
no início da Avenida Manoel Ribas, no bairro São Francisco, em Curitiba. Ele foi
algemado e levado do estabelecimento por policiais militares por ter se
recusado a assinar um boletim de registro sobre perturbação de sossego.No local, havia uma apresentação com violão e gaita que incomodou vizinhos. Mas, de acordo com nota dos advogados do empresário detido, ele se recusou a assinar por não ter sido o contratante dos músicos – o que ele teria informado à polícia no momento da abordagem. Quando os policiais chegaram, os músicos não estavam mais na casa.O momento da prisão foi registrado em celulares por
clientes. Em uma das gravações aparecem dois policiais algemando o dono do bar
e seguindo com ele para o lado de fora do estabelecimento. Um dos PMs chega a
mostrar para a câmera a identificação colada junto à farda. Outro vídeo mostra
a mesma ação de um ângulo diferente, a partir do qual é possível ver vários
clientes contestando a conduta dos policiais militares.O proprietário do bar foi encaminhado a uma unidade da PM na Rua Saldanha Marinho, junto com uma cliente que, segundo a PM, foi levada por desacato à autoridade. Os dois foram liberados logo depois. O episódio foi repudiado pela Federação das Empresas de Hospedagem, Gastronomia, Entretenimento, Lazer e Similares do Estado do Paraná (Feturismo) e pelo Sindicato das Empresas de Gastronomia, Entretenimento e Similares de Curitiba (Sindiabrabar).  As entidades se referiram ao que chamaram de ""forma e a condução e investidas desproporcionais de policiais ou operações das forças da segurança pública, em especial a Polícia Militar contra o nosso setor""""Somos a favor de fiscalizações, abordagens e um trabalho mais ostensivo e de inteligência nas áreas críticas e de crescimento de violência e tráfico da capital e nas cidades pólos do Estado. (...). Mas também é necessário a reciclagem, requalificação e um melhor preparo dos que estão na linha de frente principalmente uma melhor gestão e aplicação dos recursos, viaturas, contingentes e equipamentos para não causar uma desguarnecida em áreas que necessitam de patrulhamento e apoio ostensivo "". ",https://www.gazetadopovo.com.br/curitiba/corregedoria-conduta-pm-prisao-dono-bar/

Vem aí o concurso para servidores do TRF da 4ª Região,,,,,https://www.gazetadopovo.com.br/blogs/concurseiros/2019/04/05/vem-ai-o-concurso-para-servidores-do-trf-da-4a-regiao/

,,,,,https://www.gazetadopovo.com.br/viver-bem/comportamento/contra-solidao-caes-gatos-grandes-companheiros-velhice/

,,,,"Oposição e chavismo foram às ruas nesta sábado (6) em mais um dia de manifestações na dividida Venezuela. Com exceção de um confronto entre opositores e a Guarda Nacional Bolivariana (GNB) em Maracaibo, no estado de Zulia, que deixou pelo menos 30 feridos, os protestos foram pacíficos.Em frente a milhares de pessoas que se reuniram em Caracas para apoiar a Operação Liberdade, Juan Guaidó, líder da oposição e presidente interino da Venezuela, disse que o Palácio de Miraflores ""tem pânico porque estamos nas ruas"".""Enquanto eles se entrincheiram em quatro quadras, nós estamos em 358 pontos do país"", afirmou, referindo-se às manifestações pró-Maduro que aconteceram no mesmo dia nas proximidades da sede do governo.Manter a população mobilizada pelo fim do regime do ditador Nicolás Maduro é um dos grandes desafios de Guaidó, reconhecido como presidente interino da Venezuela por mais de 50 países, inclusive Brasil e Estados Unidos. Grandes manifestações já ocorreram em outros anos, como em 2014 e 2017, mas uma série de fatores, inclusive erros da própria oposição,  fez com que o sentimento de esperança pela mudança esmaecesse.Depois de um 2018 apático, porém, a oposição conseguiu mais uma vez recuperar o ânimo popular para sua causa. Em janeiro, Guaidó assumiu a liderança do movimento renovado e conquistou, com a articulação política de seus aliados, reconhecimento e apoio internacional, que deram fôlego maior para sua campanha.É esse fôlego que a oposição não quer perder – e não pode perder.Guaidó já sofreu uma derrota quando, em fevereiro, pediu aos militares que desobedecessem as ordens do ditador e deixassem passar a ajuda humanitária vinda dos Estados Unidos – o que não ocorreu. Apesar disso, as pessoas continuaram mobilizadas. Talvez mais pelo agravamento da crise humanitária, com os constantes apagões e a falta de água que se tornaram problemas em nível nacional em março, do que por uma identificação com as causas da oposição.Agora, a oposição coloca em marcha a ""Operação Liberdade"", que pretende acelerar o processo de ""cessação da usurpação"" por meio de ondas de manifestações que levarão Guaidó a tomar o Palácio Miraflores.""6 de abril, o começo da Operação Liberdade, o começo de uma fase definitiva para a cessação da usurpação, onde todos somos atores de mudança no momento"", disse Guaidó a repórteres na Assembleia Nacional Venezuelana, que ele preside, na quinta-feira (4).Uma nova etapa da Operação Liberdade deve ocorrer na próxima quarta-feira (10).""Ontem [sexta-feira] tentaram posicionar uma tendência: não mais marchas. Ninguém acredita mais nesses rótulos falsos. Estaremos nas ruas até chegarmos à liberdade, porque chegamos aqui graças ao sacrifício de centenas de presos políticos, milhares de cidadãos que saíram às ruas"", disse Guaidó.Durante a manifestação deste sábado, Guaidó convocou os funcionários públicos para uma nova reunião nesta segunda-feira (8), a fim de definir a Operação Liberdade com este setor.Guaidó disse que os trabalhadores públicos são essenciais para continuar ""construindo capacidades"" e prometeu que deixarão de ser ""vítimas"" e que a chantagem por parte do ""regime Nicolás Maduro"" contra eles terminará.""Chega da impunidade de grupos armados e irregularmente armados e financiados por Cuba certamente"", disse ele, dirigindo-se ao presidente cubano, Miguel Diaz-Canel.Em março, logo depois de ter chegado de um tour pelos países aliados na América do Sul, Gauidó se reuniu com lideranças sindicais, mas o evento foi esvaziado. O líder da oposição havia contatado trabalhadores de 100 agremiações sindicais para o encontro, para tentar chamar um grupo expressivo de trabalhadores, mas apenas algumas centenas de pessoas participaram do ato – no total, o governo emprega 2 milhões de servidores. Muitos alegaram medo de retaliações do governo para não comparecer. Maduro está evitando empregar violência contra as manifestações que pedem pela sua saída do poder – pelo menos com as forças de segurança do Estado, já que manifestantes opositores se veem ameaçados pelos coletivos paramilitares que andam armados em motocicletas, rodando pelas cidades.Neste sábado, porém, houve um conflito entre manifestantes e a polícia antimotim da Guarda Nacional Bolivariana, em Maracaibo, no qual cerca de 30 pessoas ficaram feridas, incluindo sete universitários, segundo o líder estudantil  José Javier Barboza. As autoridades policiais usaram gás lacrimogêneo e balas de borracha para dispersar os manifestantes.Na mesma cidade, dois deputados da oposição foram detidos por forças leais ao regime. Nora Bracho e Renzo Prieto foram liberados horas depois. O regime não explicou por que eles foram presos.Jornalista também foram intimidados, de acordo com o jornal venezuelano El Nacional. A correspondente María Carolina Quintero denunciou que teve seus pertences roubados e que foi espancada pelas tropas da Guarda Nacional na Avenida Bella Vista, em Maracaibo. Ele também diz que recebeu ameaças de deixar o local. O correspondente da TV da Venezuela, Gerard Torres, também foi espancado, segundo o Sindicato dos Trabalhadores da Imprensa.",https://www.gazetadopovo.com.br/mundo/miraflores-esta-em-panico-porque-estamos-nas-ruas-diz-guaido-no-primeiro-dia-da-operacao-liberdade/

"Tudo sobre Athletico x Rio Branco: ficha técnica, notícias, ingressos e como ver na internet",Gazeta do Povo,[05/04/2019],Athletico,,https://www.gazetadopovo.com.br/esportes/athletico/tudo-sobre-athletico-x-riobranco-ficha-tecnica-noticias-ingressos-e-como-ver-na-internet-75mkjyygzke5opa1kulx0s8kh

,,,,"Em San Francisco, onde as startups sonham em encher o mundo com carros autônomos e robôs, outro tipo de empresa busca riquezas: a Levi Strauss & Co.Fabricante de jeans que tem suas raízes na Corrida do Ouro da Califórnia, a Levi's entrou no mercado de ações, a segunda vez em sua história de 165 anos. Essa participação é significativa para a Levi's, que passou por um ressurgimento na última década, reformulando sua imagem, suas operações e o corte de seus jeans para atingir os consumidores de hoje, que cada vez mais buscam roupas descontraídas.A Levi's, dizem alguns, pode até voltar a ser cool.""Levou algum tempo, mas eles foram capazes de restaurar grande parte do valor da marca"", disse Marie Driscoll, diretora de gestão responsável por moda e luxo na Coresight Research. ""Eles têm o produto autêntico que sempre fizeram, mas que foi adaptado ao que os consumidores querem hoje.""A oferta de ações feita no último dia 20 de março é uma realização do executivo-chefe, Charles V. Bergh, e destaca as ambições da Levi's de expandir suas linhas de vestuário, tanto nos Estados Unidos quanto no resto do mundo. A expectativa era que suas ações fossem vendidas por US$ 14 a US$ 16, o que levantaria US$ 550 milhões e valorizaria a empresa entre US$ 5,4 bilhões e US$ 6,2 bilhões. No dia 21 de março, dia seguinte do IPO, os papeis estavam cotados a US$ 17, e o montante levantado foi de US$ 717 milhões.A Levi's, que inventou o blue jeans em 1873, está ligada à história americana. Começando como uniforme de cowboys e mineiros no oeste americano, o jeans da empresa passou a ser usado por estrelas de Hollywood como Marlon Brando, os frequentadores de Woodstock e os jovens em todo o país. Mas a Levi's passou por uma série de desafios a partir da década de 1990 que iam além das flutuações normais no gosto dos consumidores.Novas lojas para adolescentes, empresas de streetwear e marcas de baixo custo começaram a tomar sua fatia de mercado. O jeans de grife conquistou uma camada diferenciada da população. Depois vieram os problemas com algumas lojas de departamento que vendiam seus produtos. Mais recentemente, a Levi's enfrentou novas competições de outras marcas.Enquanto passava por percalços, a empresa iniciou uma remodelação completa em 2011 com a nomeação de Bergh, conhecido como Chip, que se juntou à Levi's depois de quase três décadas na Procter & Gamble.Com ele, as vendas aumentaram e a marca começou a contar com nova energia. Seu nome está agora em um estádio de futebol americano, começou a usar lasers para gastar suas calças e abriu uma loja gigante na Times Square, na cidade de Nova York.Agora, a Levi's – que se encaixa entre a Gap e a Ralph Lauren no que se refere a vendas – tenta voltar ao patamar dos anos 1990, quando sua receita excedeu US$ 7 bilhões.A empresa não quis fazer comentários para este artigo.A Levi's tem uma longa história. Levi Strauss, que imigrou para os Estados Unidos vindo da Baviera, abriu uma loja em San Francisco em 1853, vendendo produtos secos por atacado. Vinte anos mais tarde, ele e um parceiro de negócios receberam a patente das ""calças acinturadas"" com rebites de metal em pontos de tensão – hoje conhecidas como jeans.""A razão pela qual quiseram patentear isso, e uma grande parte das propagandas da época, foi o fato de terem feito calças mais duráveis"", disse Emma McClendon, curadora-associada de vestimenta no Museu do Instituto de Tecnologia da Moda. ""Desse modo, você podia colocar toneladas de ferramentas ou outras coisas nos bolsos, enquanto cavava ouro ou trabalhava na fazenda, e os bolsos não rasgavam.""O jeans começou a se tornar uma peça de vestuário popular nas décadas de 1920 e 1930 com a ascensão dos westerns de Hollywood, férias na fazenda e imagens romantizadas dos cowboys. Nos anos 1960, a Levi's se tornou, nas palavras de McClendon, ""o uniforme dos hippies"", aumentando ainda mais sua popularidade.Strauss morreu sem filhos em 1902 e deixou a companhia para seus sobrinhos. Os membros da família controlam o negócio desde então.A empresa listou suas ações pela primeira vez na década de 1970, mas voltou a ser privada em 1985 por meio de uma compra liderada por descendentes de Levi Strauss, a família Haas. Eles queriam ter uma visão de longo prazo do negócio, em vez de se concentrar em resultados de curto prazo.Grande parte dos rendimentos levantados no IPO deste ano irá para a família Haas. A família vai deter cerca de 80% das ações com direito a voto após a oferta.A Levi's conseguiu US$ 5,6 bilhões em vendas no ano passado, com um lucro líquido de US$ 285 milhões. Houve um aumento desde o início da administração de Bergh – no ano em que ingressou na empresa, ela fez US$ 4,8 bilhões em vendas –, mas os valores ainda estão bem abaixo de seu pico dos anos 1990.Bergh, de 61 anos, estava envolvido com a integração da Gillette após a aquisição da marca pela Procter & Gamble por US$ 57 bilhões em 2005 e viu a reviravolta da Levi's como sua oportunidade de fazer história.Quando se juntou ao negócio, começou a abordar ""questões fundamentais"", disse ele em um podcast no ano passado, mencionando uma marca paralisada e endividada.""Não havia uma estratégia clara. Não tínhamos investido na construção da marca, não tínhamos investido em inovação, estávamos realmente desconectados do consumidor, nossa propaganda não estava funcionando"", disse ele.A empresa desde então introduziu um novo slogan, ""Live in Levi's"" (Viva de Levi's), aumentou seus gastos com anúncios e comprou o direito de dar seu nome ao estádio do San Francisco 49ers.Também fez grandes reduções de pessoal, diminuiu a dívida e investiu em uma instalação local chamada Eureka Innovation Lab. A empresa credita ao laboratório ""avanços de vanguarda para a nossa empresa e para a indústria"" em seus documentos regulatórios, incluindo o ""tecido stretch de quatro direções"" que fazia parte do relançamento dos jeans femininos em 2015. A Levi's também contratou um estrategista e um encarregado de inteligência artificial este ano.E o mais importante: a empresa, que ainda obtém a maior parte de sua receita com vendas no atacado, como as lojas de departamentos, tem procurado levantar as vendas em suas próprias lojas e sites nos últimos anos. No ano passado, as vendas diretas representaram 35 por cento de sua receita.A Levi's também vem expandindo sua linha de camisas e blusas – o que representou 20 por cento das vendas no ano passado – e o vestuário feminino, que chegou a 29 por cento de suas vendas em 2018. A empresa está criando burburinho em torno de seu jeans feminino, incluindo o chamado wedgie jean.A Levi's se beneficia do trabalho que Bergh tem feito, mas também vem sendo ajudada por ""uma maré de renascimento dos jeans"", disse Driscoll. Outras empresas também obtiveram esses resultados, especialmente as que vendem jeans de baixo custo na era pós-recessão.""Desde o colapso econômico entre 2008 e 2010, todo esse período, usar roupas caras para mostrar quem você é não é mais tão legal quanto costumava ser"", disse Driscoll.Um dos maiores desafios que Bergh e a Levi's enfrentaram nos últimos anos foi o boom das calças de ioga. A Coresight Research disse em um relatório recente que as importações americanas de calças de malha elástica para mulheres ultrapassaram as importações de calças jeans femininas em 2017. A Levi's contorna alguns desses problemas com o stretch que acrescentou ao seu jeans.""Fico louco com as mulheres que usam calça de ioga em bons restaurantes – o jeans ficaria muito melhor"", escreveu Bergh em um ensaio para a ""Harvard Business Review"" no ano passado. ""Mas elas estão escolhendo esse tipo de roupa porque é mais confortável. Eu disse aos nossos estilistas que tínhamos de resolver esse problema.""A empresa procurou mostrar essa tendência em seus documentos regulatórios em março. Eles descrevem como Beyoncé usava shorts Levi's em sua apresentação no Festival de Coachella em abril de 2017, bem como suas colaborações com Justin Timberlake e a marca Air Jordan da Nike.O mercado de ações dá à empresa e aos seus proprietários uma nova flexibilidade, disse Mike Zuccaro, analista da Moody's. Zuccaro afirma que ficou impressionado com a forma como a empresa tem sido capaz de resistir a tendências difíceis dentro da indústria de varejo e se concentrar em áreas em que pode crescer.E acrescentou: ""Ainda há desafios no varejo dos EUA e em todos os lugares, claro, mas isso diz muito sobre o que a Levi's pode fazer nesse ambiente.""",https://www.gazetadopovo.com.br/economia/pela-segunda-vez-em-165-anos-de-historia-levis-entra-no-mercado-de-acoes/

,,,,"Instituto Nacional de Meteorologia (Inmet) emitiu alerta laranja para tempestades para a região leste do Paraná, onde fica Curitiba, para este sábado (6). O nível laranja é intermediário, entre o amarelo (risco menor) e vermelho (maior).Segundo o Inmet, além da região da capital, os Campos Gerais e o Litoral também estão sob risco de fortes chuvas com rajadas de vento e descarga elétrica.As informações do instituto são de que o risco começou já na madrugada do sábado, e se estende durante todo o dia. Na capital, há chance de chuvas significativas, com picos que podem chegar aos 60mm/h, com acumulado no dia de até 100mm. Além disso, os ventos podem chegar aos 100km/h, o que traz risco de quedas de árvores, galhos, alagamento e corte de energia elétrica.De acordo com o Simepar, o maior volume de chuvas deve ficar concentrado no final da tarde e na noite de sábado. Até por isso, a previsão é de que as temperaturas caiam a partir desse horário, chegando à mínima pro dia, de 18ºC.",https://www.gazetadopovo.com.br/curitiba/regiao-de-curitiba-tem-alerta-de-tempestade-para-este-sabado/

,,,,,https://www.gazetadopovo.com.br/bomgourmet/frutas-diferentes-coloridas/

